"translation","source","can_modify"
"Então o mundo finalmente ficará quieto.{#Name=""Four""}","Then the world will finally be quiet.{#Name=""Four""}","1"
"Shh... Não um som de você, mundo. Eee hee hee!{#Name=""Four""}","Shhh... Not a peep from you, world. Eee hee hee!{#Name=""Four""}","1"
"Imagine, Zero... Você e eu em um mundo silencioso.{LF}Um mundo onde podemos jogar esconde-esconde!{#Name=""Four""}","Imagine, Zero... You and I in a silent world.{LF}A world where we can play hide-and-seek!{#Name=""Four""}","1"
"Você está se escondendo, Zero? Você está?{#Name=""Four""}","Are you hiding yet, Zero? Are you?{#Name=""Four""}","1"
"Porque pronto ou não... aqui eu vou!{#Name=""Four""}","Because ready or not...here I coooooome!{#Name=""Four""}","1"
"Zerooo! Zerooo?{#Name=""Four""}","Zerooo! Zerooo?{#Name=""Four""}","1"
"Zeeerooooooooo!{#Name=""Four""}","Zeeerooooooooo!{#Name=""Four""}","1"
"Onde aaaaaa está você, minha irmã!?{#Name=""Four""}","Where aaaaaare yoooooou, my siiiiiister!?{#Name=""Four""}","1"
"Zeeerooooooooo!{#Name=""Four""}","Zeeerooooooooo!{#Name=""Four""}","1"
"Eee hee hee hee ha ha ha ha haaaaaa!{#Name=""Four""}","Eee hee hee hee ha ha ha ha haaaaaa!{#Name=""Four""}","1"
"Pronto para o próximo jogo? Okay!{LF}Simon diz... lute!{#Name=""Four""}","Ready for the next game? Okay!{LF}Simon saaays...fight!{#Name=""Four""}","1"
"Simon diz... rasgue suas entranhas! Vamos, faça isso!{#Name=""Four""}","Simon saaays...rip your guts out! Come on, do it!{#Name=""Four""}","1"
"Agora, tente me enfrentar!{LF}... Ha! Eu não disse Simon diz!{#Name=""Four""}","Now, try and take me on!{LF}...Ha! I didn't say Simon says!{#Name=""Four""}","1"
"Pegue ela! Rasgue ela em pedaços!{LF}TEEEEEEAR ELA EM PEDACINHOS!{#Name=""Four""}","Get her! Tear her apart!{LF}TEEEEEEAR HER APAAART!{#Name=""Four""}","1"
"Não ouça ela, Zero!{#Name=""Mikhail""}","Don't listen to her, Zero!{#Name=""Mikhail""}","1"
"Ela está louca! Ela vai fazer você ficar louco também!{LF}Totalmente louco!{#Name=""Mikhail""}","She's bonkers! She'll make you bonkers too!{LF}Totally bonkers!{#Name=""Mikhail""}","1"
"Pare de dizer louco já!{#Name=""Zero""}","Stop saying bonkers already!{#Name=""Zero""}","1"
"Não... Por favor, não!{#Name=""Four""}","No... Please, no!{#Name=""Four""}","1"
"B-But... como puderam...{#Name=""Four""}","B-But...how could...{#Name=""Four""}","1"
"isso acontecer... com... mim...{#Name=""Four""}","this happen...to...me...{#Name=""Four""}","1"
"Não se preocupe.{#Name=""Zero""}","Don't worry.{#Name=""Zero""}","1"
"Suas irmãs se juntarão a você em breve.{#Name=""Zero""}","Your sisters will be joining you soon enough.{#Name=""Zero""}","1"
"Ei. Ela é toda sua.{#Name=""Zero""}","Hey. She's all yours.{#Name=""Zero""}","1"
"A evolução de um dragão...{#Name=""Decadus""}","The evolution of a dragon...{#Name=""Decadus""}","1"
"Grande Deus! Ele evoluiu duas vezes de uma só vez!{#Name=""Octa""}","Good gracious! He's evolved twice in one go!{#Name=""Octa""}","1"
"Tudo está pronto agora. ...Michael.{#Name=""Zero""}","Everything is ready now. ...Michael.{#Name=""Zero""}","1"
"Mate Quatro.{#Name=""説明文""}","Kill Four.{#Name=""説明文""}","1"
"Zero!{#Name=""Mikhail""}","Zero!{#Name=""Mikhail""}","1"
"Deixe isso comigo!{#Name=""Zero""}","Leave this to me!{#Name=""Zero""}","1"
