"translation","source"
"Exibir condições de conclusão da quest　　 3010_1","クエストクリア条件を表示　　３０１０＿１"
"Adquira 3 Pedras de Movimento.{LF}Você só pode lutar com braçadeiras de combate.","Acquire 3 Movestones.{LF}You may only fight with combat bracers."
"Adquira 3 Presas de Víbora.{LF}Você só pode lutar com braçadeiras de combate.","Acquire 3 Viper Fangs.{LF}You may only fight with combat bracers."
"Adquira 3 Livros de Mistério.","Acquire 3 Books of Mystery."
"Exibir condições de conclusão da quest　　 3020_1","クエストクリア条件を表示　　３０２０＿１"
"Exibir condições de conclusão da quest　　 3020_2","クエストクリア条件を表示　　３０２０＿２"
"Reúna tanto ouro quanto possível antes{LF}do tempo expirar.","Gather as much gold as you can before{LF}time expires."
"Exibir condições de conclusão da quest　　 3030_2","クエストクリア条件を表示　　３０３０＿２"
"Exibir condições de conclusão da quest　　 3040_1","クエストクリア条件を表示　　３０４０＿１"
"Exibir condições de conclusão da quest　　 3040_2","クエストクリア条件を表示　　３０４０＿２"
"Exibir condições de conclusão da quest　　 3050_1","クエストクリア条件を表示　　３０５０＿１"
"Adquira 7 Pedras de Alimento.{LF}Você só pode lutar com braçadeiras de combate.","Acquire 7 Foodstones.{LF}You may only fight with combat bracers."
"Adquira 8 Ferrões de Sapo.{LF}Você só pode lutar com braçadeiras de combate.","Acquire 8 Toad Stingers.{LF}You may only fight with combat bracers."
"Adquira 9 Livros de Santidade.","Acquire 9 Books of Sanctity."
"Exibir condições de conclusão da quest　　 3060_1","クエストクリア条件を表示　　３０６０＿１"
"Exibir condições de conclusão da quest　　 3060_2","クエストクリア条件を表示　　３０６０＿２"
"Exibir condições de conclusão da quest　　 4010_1","クエストクリア条件を表示　　４０１０＿１"
"Adquira 7 Pedras de Flutuação.{LF}Você só pode lutar com chakrams.","Acquire 7 Floatstones.{LF}You may only fight with chakrams."
"Adquira 8 Fósseis de Osso.{LF}Você só pode lutar com chakrams.","Acquire 8 Bone Fossils.{LF}You may only fight with chakrams."
"Adquira 9 Livros de Pureza.","Acquire 9 Books of Purity."
"Exibir condições de conclusão da quest　　 4020_1","クエストクリア条件を表示　　４０２０＿１"
"Adquira 3 Pedras de Magnetita.{LF}Você só pode lutar com chakrams.","Acquire 3 Magnetite stones.{LF}You may only fight with chakrams."
"Adquira 3 Fósseis de Planta.{LF}Você só pode lutar com chakrams.","Acquire 3 Plant Fossils.{LF}You may only fight with chakrams."
"Adquira 3 Livros de Inocência.","Acquire 3 Books of Innocence."
"Reúna tanto ouro quanto possível antes do tempo expirar.","Gather as much gold as you can before{LF}time expires."
"Exibir condições de conclusão da quest 4030_2","クエストクリア条件を表示　　４０３０＿２"
"Exibir condições de conclusão da quest 4040_1","クエストクリア条件を表示　　４０４０＿１"
"Exibir condições de conclusão da quest 4040_2","クエストクリア条件を表示　　４０４０＿２"
"Exibir condições de conclusão da quest 5010_1","クエストクリア条件を表示　　５０１０＿１"
"Exibir condições de conclusão da quest 5010_2","クエストクリア条件を表示　　５０１０＿２"
"Exibir condições de conclusão da quest 5020_1","クエストクリア条件を表示　　５０２０＿１"
"Adquira 3 pedras de meteorito.","Acquire 3 Meteorite stones."
"Adquira 3 fragmentos do Mundo Antigo.","Acquire 3 Old-World Shards."
"Adquira 3 Livros de Disciplina.","Acquire 3 Books of Discipline."
"Exibir condições de conclusão da quest 5030_1","クエストクリア条件を表示　　５０３０＿１"
"Adquira 7 pedras de cometa.","Acquire 7 Cometstones."
"Adquira 8 artefatos do Mundo Antigo.","Acquire 8 Old-World Artifacts."
"Adquira 9 Livros de Doutrina.","Acquire 9 Books of Doctrine."
"Reúna tanto ouro quanto possível antes do tempo expirar.","Gather as much gold as you can before{LF}time expires."
"Exibir condições de conclusão da quest 5040_2","クエストクリア条件を表示　　５０４０＿２"
