"translation","source","can_modify"
"Medalha de Reserva 9","予備のメダル９","1"
"Medalha de Reserva 10","予備のメダル１０","1"
"Medalha de Reserva 11","予備のメダル１１","1"
"Medalha de Reserva 12","予備のメダル１２","1"
"Medalha de Reserva 13","予備のメダル１３","1"
"Medalha de Reserva 14","予備のメダル１４","1"
"Medalha de Reserva 15","予備のメダル１５","1"
"Medalha de Reserva 16","予備のメダル１６","1"
"Medalha de Reserva 17","予備のメダル１７","1"
"Medalha de Reserva 18","予備のメダル１８","1"
"Medalha de Reserva 19","予備のメダル１９","1"
"Medalha de Reserva 20","予備のメダル２０","1"
"Medalha de Reserva 21","予備のメダル２１","1"
"Medalha de Reserva 22","予備のメダル２２","1"
"Medalha de Reserva 23","予備のメダル２３","1"
"Medalha de Reserva 24","予備のメダル２４","1"
"Medalha de Reserva 25","予備のメダル２５","1"
"Medalha de Reserva 26","予備のメダル２６","1"
"Medalha de Reserva 27","予備のメダル２７","1"
"Medalha de Reserva 28","予備のメダル２８","1"
"Medalha de Reserva 29","予備のメダル２９","1"
"Medalha de Reserva 30","予備のメダル３０","1"
"Medalha de Reserva 31","予備のメダル３１","1"
"Medalha de Reserva 32","予備のメダル３２","1"
"Medalha de Reserva 33","予備のメダル３３","1"
"Gema da Mar","海の宝石","1"
"Gema da Montanha","山の宝石","1"
"Gema da Floresta","森の宝石","1"
"Gema Quebrada","Broken Jewel","1"
"Gema da Igreja","教会の宝石","1"
"Gema de Espadachim A","剣兵の宝石A","1"
"Gema Lascada","Chipped Jewel","1"
"Gema de Espadachim C","剣兵の宝石C","1"
"Gema Turva","Clouded Jewel","1"
"Gema Polida","Polished Jewel","1"
"Gema de Lanceiro A","槍兵の宝石A","1"
"Gema de Hypnos","Hypnos Jewel","1"
"Gema de Sylph","Sylph Jewel","1"
"Gema de Undine","Undine Jewel","1"
"Gema de Gnome","Gnome Jewel","1"
"Gema de Salamandra","Salamander Jewel","1"
"Gema de Escudeiro B","盾兵の宝石B","1"
"Pedra Flamejante de Wyrm","Wyrm Flamestone","1"
"Pedra das Fadas","Faerie Stone","1"
"Ágata Sagrada","Saintly Agate","1"
"Topázio Vívido","Vivid Topaz","1"
"Jaspe Enigmático","Perplexing Jasper","1"
"Ônix Silencioso","Silent Onyx","1"
"Safira Abissal","Abyssal Sapphire","1"
"Esmeralda Rajada","Streaked Emerald","1"
"Gema das Nornir","Nornir Jewel","1"
"b","b","1"
"Gema da Aurora","Aurora Jewel","1"
"Gema de Serket","Serket Jewel","1"
"Gema Celestial","Heavenly Jewel","1"
"Gema de Mago","魔導師の宝石","1"
"Gema de Mago 2","魔導師２の宝石","1"
"Gema de Mago 3","魔導師３の宝石","1"
"Gema de Morto-Vivo","アンデッドの宝石","1"
"Gema de Morto-Vivo 2","アンデッド２の宝石","1"
"Gema de Morto-Vivo 3","アンデッド３の宝石","1"
"Gema de Ogro","オーガの宝石","1"
"Gema de Ogro 2","オーガ２の宝石","1"
"Gema de Troll","トロルの宝石","1"
"Gema de Troll 2","トロル２の宝石","1"
"Gema de Lobo","オオカミの宝石","1"
"Gema de Lobo 2","オオカミ２の宝石","1"
"Gema de Cavaleiro","騎馬兵の宝石","1"
"Gema de Cavaleiro 2","騎馬兵２の宝石","1"
"Gema de Espírito","スピリットの宝石","1"
"Gema de Espírito 2","スピリット２の宝石","1"
"Gema de Diabinho","インプの宝石","1"
"Gema de Gigas","ギガースの宝石","1"
"Gema de Gigas 2","ギガース２の宝石","1"
"Gema de Gigas 3","ギガース３の宝石","1"
"Gema de Espadachim Gigante","巨人剣士の宝石","1"
"Gema de Espadachim Gigante 2","巨人剣士２の宝石","1"
"Gema de Espadachim Gigante 3","巨人剣士３の宝石","1"
"Gema de Cérbero","ケルベロスの宝石","1"
"Gema de Cérbero 2","ケルベロス２の宝石","1"
"Gema de Cérbero 3","ケルベロス３の宝石","1"
"Gema de Golem","ゴーレムの宝石","1"
"Gema de Centauro","ケンタウロスの宝石","1"
"Gema de Ifrite","イーフリートの宝石","1"
"Gema de Phanuel","ファヌエルの宝石","1"
"Gema de Armisael","アルサミエルの宝石","1"
"Gema de Egregori","エグリゴリの宝石","1"
"Gema de Raphael","ラファエルの宝石","1"
"Gema de Galgaliel","ガルガリエルの宝石","1"
"Gema de Abdiel","アプディエルの宝石","1"
"Gema de Zofiel","ゾフィエルの宝石","1"
"Gema de Gabriel","ガブリエルの宝石","1"
"Gema de Reserva 1","予備の宝石１","1"
"Gema de Reserva 2","予備の宝石２","1"
"Gema de Reserva 3","予備の宝石３","1"
"Gema de Reserva 4","予備の宝石４","1"
"Gema de Reserva 5","予備の宝石５","1"
"Gema de Reserva 6","予備の宝石６","1"
"Gema de Reserva 7","予備の宝石７","1"
"Gema de Reserva 8","予備の宝石８","1"
"Gema de Reserva 9","予備の宝石９","1"
"Gema de Reserva 10","予備の宝石１０","1"
"Gema de Reserva 11","予備の宝石１１","1"
"Gema de Reserva 12","予備の宝石１２","1"
"Gema de Reserva 13","予備の宝石１３","1"
"Gema de Reserva 14","予備の宝石１４","1"
"Gema de Reserva 15","予備の宝石１５","1"
"Gema de Reserva 16","予備の宝石１６","1"
"Gema de Reserva 17","予備の宝石１７","1"
"Gema de Reserva 18","予備の宝石１８","1"
"Gema de Reserva 19","予備の宝石１９","1"
"Gema de Reserva 20","予備の宝石２０","1"
"Gema de Reserva 21","予備の宝石２１","1"
"Gema de Reserva 22","予備の宝石２２","1"
"Gema de Reserva 23","予備の宝石２３","1"
"Gema de Reserva 24","予備の宝石２４","1"
"Gema de Reserva 25","予備の宝石２５","1"
"Gema de Reserva 26","予備の宝石２６","1"
"Gema de Reserva 27","予備の宝石２７","1"
"Gema de Reserva 28","予備の宝石２８","1"
"Gema de Reserva 29","予備の宝石２９","1"
"Gema de Reserva 30","予備の宝石３０","1"
"Gema de Reserva 31","予備の宝石３１","1"
"Gema de Reserva 32","予備の宝石３２","1"
"Gema de Reserva 33","予備の宝石３３","1"
"Faca do Mar","海のナイフ","1"
"Garra Frágil","Fragile Claw","1"
"Faca da Floresta","森のナイフ","1"
"Garra Macia","Soft Claw","1"
"Garra Longa","Long Claw","1"
"Garra Pontiaguda","Pointed Claw","1"
"Garra Devoradora de Sonhos","Dreameater Claw","1"
"Garra Carmesim","Crimson Claw","1"
"Espada de Espadachim E","剣兵の剣E","1"
"Garra de Defunto","Dead Man's Claw","1"
"Espada de Lanceiro B","槍兵の剣B","1"
"Garra de Prata","Silver Claw","1"
"Garra Elegante","Beautiful Talon","1"
"Garra Afiada","Sharp Talon","1"
"Espada de Escudeiro A","盾兵の剣A","1"
"Garra Esmeralda","Emerald Talon","1"
"Garra de Roc","Roc Talon","1"
"Casco de Espírito da Água","Water Spirit Hoof","1"
"Casco de Pégasos","Pegasus Hoof","1"
"Espada de Arqueiro A","弓兵の剣A","1"
"Fragmento de Casco Relampejante","Lightning Hoof Fragment","1"
"Espada de Arqueiro C","弓兵の剣C","1"
"Espada de Arqueiro D","弓兵の剣D","1"
"Casco Milenar","Millennial Hoof","1"
"Fragmento de Casco Flamejante","Flame Hoof Fragment","1"
"Casco Celestial","Heaven-sent Hoof","1"
"Espada de Canhoneiro C","砲兵の剣C","1"
"Espada de Canhoneiro D","砲兵の剣D","1"
"Espada de Canhoneiro E","砲兵の剣E","1"
"Costela de Criança","Child's Rib","1"
"Fêmur de Homem","Man's Femur","1"
"Crânio de Menina","Girl's Skull","1"
"Pélvis de Mulher","Woman's Pelvis","1"
"Espada de Defunto 2","アンデッド２の剣","1"
"Espada de Defunto 3","アンデッド３の剣","1"
"Chifre de Ogro","オーガの角","1"
"Chifre de Ogro 2","オーガ２の角","1"
"Garra de Troll","トロルの爪","1"
"Garra de Troll 2","トロル２の爪","1"
"Garra de Lobo","オオカミの爪","1"
"Garra de Lobo 2","オオカミ２の爪","1"
"Espada de Cavaleiro","騎馬兵の剣","1"
"Espada de Cavaleiro 2","騎馬兵２の剣","1"
"Garra de Espírito","スピリットの爪","1"
"Garra de Espírito 2","スピリット２の爪","1"
"Garra de Diabinho","インプの爪","1"
"Garra de Gigas","ギガースの爪","1"
"Garra de Gigas 2","ギガース２の爪","1"
"Garra de Gigas 3","ギガース３の爪","1"
"Garra de Espadachim Gigante","巨人剣士の爪","1"
"Garra de Espadachim Gigante 2","巨人剣士２の爪","1"
"Garra de Espadachim Gigante 3","巨人剣士３の爪","1"
"Garra de Cérbero","ケルベロスの爪","1"
"Garra de Cérbero 2","ケルベロス２の爪","1"
"Garra de Cérbero 3","ケルベロス３の爪","1"
"Mão de Golem","ゴーレムの手","1"
"Garra de Centauro","ケンタウロスの爪","1"
"Garra de Ifrite","イーフリートの爪","1"
"Garra de Phanuel","ファヌエルの爪","1"
"Garra de Armisael","アルサミエルの爪","1"
"Garra de Egregori","エグリゴリの爪","1"
"Garra de Raphael","ラファエルの爪","1"
"Garra de Galgaliel","ガルガリエルの爪","1"
"Garra de Abdiel","アプディエルの爪","1"
"Garra de Zofiel","ゾフィエルの爪","1"
"Garra de Gabriel","ガブリエルの爪","1"
"Garra de Reserva 1","予備の爪１","1"
"Garra de Reserva 2","予備の爪２","1"
"Garra de Reserva 3","予備の爪３","1"
"Garra de Reserva 4","予備の爪４","1"
"Garra de Reserva 5","予備の爪５","1"
"Garra de Reserva 6","予備の爪６","1"
"Garra de Reserva 7","予備の爪７","1"
"Garra de Reserva 8","予備の爪８","1"
"Garra de Reserva 9","予備の爪９","1"
"Garra de Reserva 10","予備の爪１０","1"
"Garra de Reserva 11","予備の爪１１","1"
"Garra de Reserva 12","予備の爪１２","1"
"Garra de Reserva 13","予備の爪１３","1"
"Garra de Reserva 14","予備の爪１４","1"
"Garra de Reserva 15","予備の爪１５","1"
"Garra de Reserva 16","予備の爪１６","1"
"Garra de Reserva 17","予備の爪１７","1"
"Garra de Reserva 18","予備の爪１８","1"
"Garra de Reserva 19","予備の爪１９","1"
"Garra de Reserva 20","予備の爪２０","1"
"Garra de Reserva 21","予備の爪２１","1"
"Garra de Reserva 22","予備の爪２２","1"
"Garra de Reserva 23","予備の爪２３","1"
"Garra de Reserva 24","予備の爪２４","1"
"Garra de Reserva 25","予備の爪２５","1"
"Garra de Reserva 26","予備の爪２６","1"
"Garra de Reserva 27","予備の爪２７","1"
"Garra de Reserva 28","予備の爪２８","1"
"Garra de Reserva 29","予備の爪２９","1"
"Garra de Reserva 30","予備の爪３０","1"
"Garra de Reserva 31","予備の爪３１","1"
"Garra de Reserva 32","予備の爪３２","1"
"Garra de Reserva 33","予備の爪３３","1"
"Livro do Mar","海の本","1"
"Livro da Montanha","山の本","1"
"Livro da Floresta","森の本","1"
"Livro da Areia","砂の本","1"
"Livro Rasgado","Torn-up Book","1"
"Livro de Espadachim A","剣兵の本A","1"
"Livro de Espadachim B","剣兵の本B","1"
"Livro de Espadachim C","剣兵の本C","1"
"Livro Manchado","Stained Book","1"
"Livro de Espadachim E","剣兵の本E","1"
"Livro Antigo","Ancient Book","1"
"Livro de Lanceiro B","槍兵の本B","1"
"Livro de Dian Cecht","Dian Cecht Book","1"
"Livro de Epona","Epona Book","1"
"Livro de Toutatis","Toutatis Book","1"
"Livro de Escudeiro A","盾兵の本A","1"
"Página de Taranis","Taranis Page","1"
"Livro de Escudeiro C","盾兵の本C","1"
"Página do Mandato Celestial","Heaven's Mandate Page","1"
"Livro Celestial","Heaven-sent Book","1"
"Livro de Arqueiro A","弓兵の本A","1"
"Livro de Arqueiro B","弓兵の本B","1"
"Livro de Arqueiro C","弓兵の本C","1"
"Livro de Arqueiro D","弓兵の本D","1"
"Livro de Arqueiro E","弓兵の本E","1"
"Livro de Canhoneiro A","砲兵の本A","1"
"Livro de Canhoneiro B","砲兵の本B","1"
"Livro de Canhoneiro C","砲兵の本C","1"
"Livro de Canhoneiro D","砲兵の本D","1"
"Livro de Canhoneiro E","砲兵の本E","1"
"Livro de Mago","魔導師の本","1"
"Livro de Mago 2","魔導師２の本","1"
"Livro de Mago 3","魔導師３の本","1"
"Livro de Morto-Vivo","アンデッドの本","1"
"Livro de Morto-Vivo 2","アンデッド２の本","1"
"Livro de Morto-Vivo 3","アンデッド３の本","1"
"Livro de Ogro","オーガの本","1"
"Livro de Ogro 2","オーガ２の本","1"
"Livro de Troll","トロルの本","1"
"Livro de Troll 2","トロル２の本","1"
"Livro de Lobo","オオカミの本","1"
"Livro de Lobo 2","オオカミ２の本","1"
"Livro de Cavaleiro","騎馬兵の本","1"
"Livro de Cavaleiro 2","騎馬兵２の本","1"
"Livro de Espírito","スピリットの本","1"
"Livro de Espírito 2","スピリット２の本","1"
"Livro de Diabinho","インプの本","1"
"Livro de Gigas","ギガースの本","1"
"Livro de Gigas 2","ギガース２の本","1"
"Livro de Gigas 3","ギガース３の本","1"
"Livro de Guerreiro Gigante","巨人本士の本","1"
"Livro de Guerreiro Gigante 2","巨人本士２の本","1"
"Livro de Guerreiro Gigante 3","巨人本士３の本","1"
"Livro de Cérbero","ケルベロスの本","1"
"Livro de Cérbero 2","ケルベロス２の本","1"
"Livro de Cérbero 3","ケルベロス３の本","1"
"Livro de Golem","ゴーレムの本","1"
"Livro de Centauro","ケンタウロスの本","1"
"Livro de Ifrite","イーフリートの本","1"
"Livro de Phanuel","ファヌエルの本","1"
"Livro de Armisael","アルサミエルの本","1"
"Livro de Egregori","エグリゴリの本","1"
"Livro de Raphael","ラファエルの本","1"
"Livro de Galgaliel","ガルガリエルの本","1"
"Livro de Abdiel","アプディエルの本","1"
"Livro de Zofiel","ゾフィエルの本","1"
"Livro de Gabriel","ガブリエルの本","1"
"Livro de Reserva 1","予備の本１","1"
"Livro de Reserva 2","予備の本２","1"
"Livro de Reserva 3","予備の本３","1"
"Livro de Reserva 4","予備の本４","1"
"Livro de Reserva 5","予備の本５","1"
"Livro de Reserva 6","予備の本６","1"
"Livro de Reserva 7","予備の本７","1"
"Livro de Reserva 8","予備の本８","1"
"Livro de Reserva 9","予備の本９","1"
"Livro de Reserva 10","予備の本１０","1"
"Livro de Reserva 11","予備の本１１","1"
"Livro de Reserva 12","予備の本１２","1"
"Livro de Reserva 13","予備の本１３","1"
"Livro de Reserva 14","予備の本１４","1"
"Livro de Reserva 15","予備の本１５","1"
"Livro de Reserva 16","予備の本１６","1"
"Livro de Reserva 17","予備の本１７","1"
"Livro de Reserva 18","予備の本１８","1"
"Livro de Reserva 19","予備の本１９","1"
"Livro de Reserva 20","予備の本２０","1"
"Livro de Reserva 21","予備の本２１","1"
"Livro de Reserva 22","予備の本２２","1"
"Livro de Reserva 23","予備の本２３","1"
"Livro de Reserva 24","予備の本２４","1"
"Livro de Reserva 25","予備の本２５","1"
"Livro de Reserva 26","予備の本２６","1"
"Livro de Reserva 27","予備の本２７","1"
"Livro de Reserva 28","予備の本２８","1"
"Livro de Reserva 29","予備の本２９","1"
"Livro de Reserva 30","予備の本３０","1"
"Livro de Reserva 31","予備の本３１","1"
"Livro de Reserva 32","予備の本３２","1"
"Livro de Reserva 33","予備の本３３","1"
"Pano Esfarrapado","Tattered Cloth","1"
"Pano Gasto","Worn Cloth","1"
"Pano Macio","Soft Cloth","1"
"Pano Ensanguentado","Bloodied Cloth","1"
"Pano Resistente","Sturdy Cloth","1"
"Tecido de Trevo","Shamrock Fabric","1"
"Vestimenta de Espadachim B","剣兵の服B","1"
"Tecido da Panaceia","Panacea Fabric","1"
"Tecido Abundante","Bountiful Fabric","1"
"Tecido da Chuva","Raincloth Fabric","1"
"Trançado de Gleipnir","Gleipnir Weave","1"
"Vestimenta de Lanceiro B","槍兵の服B","1"
"Trançado do Velocino de Ouro","Goldfleece Weave","1"
"Vestimenta de Lanceiro D","槍兵の服D","1"
"Trançado da Árvore do Mundo","Worldtree Weave","1"
"Manto Ancestral","Ancient Shroud","1"
"Vestimenta de Escudeiro B","盾兵の服B","1"
"Traje Celestial","Heaven-sent Garb","1"
"Vestimenta de Escudeiro D","盾兵の服D","1"
"Vestimenta de Escudeiro E","盾兵の服E","1"
"Vestimenta de Arqueiro A","弓兵の服A","1"
"Vestimenta de Arqueiro B","弓兵の服B","1"
"Vestimenta de Arqueiro C","弓兵の服C","1"
"Vestimenta de Arqueiro D","弓兵の服D","1"
"Vestimenta de Arqueiro E","弓兵の服E","1"
"Vestimenta de Canhoneiro A","砲兵の服A","1"
"Vestimenta de Canhoneiro B","砲兵の服B","1"
"Vestimenta de Canhoneiro C","砲兵の服C","1"
"Vestimenta de Canhoneiro D","砲兵の服D","1"
"Vestimenta de Canhoneiro E","砲兵の服E","1"
"Vestimenta de Mago","魔導師の服","1"
"Vestimenta de Mago 2","魔導師２の服","1"
"Vestimenta de Mago 3","魔導師３の服","1"
"Vestimenta de Morto-Vivo","アンデッドの服","1"
"Vestimenta de Morto-Vivo 2","アンデッド２の服","1"
"Vestimenta de Morto-Vivo 3","アンデッド３の服","1"
"Vestimenta de Ogro","オーガの服","1"
"Vestimenta de Ogro 2","オーガ２の服","1"
"Vestimenta de Troll","トロルの服","1"
"Vestimenta de Troll 2","トロル２の服","1"
"Vestimenta de Lobo","オオカミの服","1"
"Vestimenta de Lobo 2","オオカミ２の服","1"
"Vestimenta de Cavaleiro","騎馬兵の服","1"
"Vestimenta de Cavaleiro 2","騎馬兵２の服","1"
"Vestimenta de Espírito","スピリットの服","1"
"Vestimenta de Espírito 2","スピリット２の服","1"
"Vestimenta de Diabinho","インプの服","1"
"Vestimenta de Gigas","ギガースの服","1"
"Vestimenta de Gigas 2","ギガース２の服","1"
"Vestimenta de Gigas 3","ギガース３の服","1"
"Vestimenta de Guerreiro Gigante","巨人剣士の服","1"
"Vestimenta de Guerreiro Gigante 2","巨人剣士２の服","1"
"Vestimenta de Guerreiro Gigante 3","巨人剣士３の服","1"
"Vestimenta de Cérbero","ケルベロスの服","1"
"Vestimenta de Cérbero 2","ケルベロス２の服","1"
"Vestimenta de Cérbero 3","ケルベロス３の服","1"
"Vestimenta de Golem","ゴーレムの服","1"
"Vestimenta de Centauro","ケンタウロスの服","1"
"Vestimenta de Ifrite","イーフリートの服","1"
"Vestimenta de Phanuel","ファヌエルの服","1"
"Vestimenta de Armisael","アルサミエルの服","1"
"Vestimenta de Egregori","エグリゴリの服","1"
"Vestimenta de Raphael","ラファエルの服","1"
"Vestimenta de Galgaliel","ガルガリエルの服","1"
"Vestimenta de Abdiel","アプディエルの服","1"
"Vestimenta de Zofiel","ゾフィエルの服","1"
"Vestimenta de Gabriel","ガブリエルの服","1"
"Vestimenta de Reserva 1","予備の服１","1"
"Vestimenta de Reserva 2","予備の服２","1"
"Vestimenta de Reserva 3","予備の服３","1"
"Vestimenta de Reserva 4","予備の服４","1"
"Vestimenta de Reserva 5","予備の服５","1"
"Vestimenta de Reserva 6","予備の服６","1"
"Vestimenta de Reserva 7","予備の服７","1"
"Vestimenta de Reserva 8","予備の服８","1"
"Vestimenta de Reserva 9","予備の服９","1"
"Vestimenta de Reserva 10","予備の服１０","1"
"Vestimenta de Reserva 11","予備の服１１","1"
"Vestimenta de Reserva 12","予備の服１２","1"
"Vestimenta de Reserva 13","予備の服１３","1"
"Vestimenta de Reserva 14","予備の服１４","1"
"Vestimenta de Reserva 15","予備の服１５","1"
"Vestimenta de Reserva 16","予備の服１６","1"
"Vestimenta de Reserva 17","予備の服１７","1"
"Vestimenta de Reserva 18","予備の服１８","1"
"Vestimenta de Reserva 19","予備の服１９","1"
"Vestimenta de Reserva 20","予備の服２０","1"
"Vestimenta de Reserva 21","予備の服２１","1"
"Vestimenta de Reserva 22","予備の服２２","1"
"Vestimenta de Reserva 23","予備の服２３","1"
"Vestimenta de Reserva 24","予備の服２４","1"
"Vestimenta de Reserva 25","予備の服２５","1"
"Vestimenta de Reserva 26","予備の服２６","1"
"Vestimenta de Reserva 27","予備の服２７","1"
"Vestimenta de Reserva 28","予備の服２８","1"
"Vestimenta de Reserva 29","予備の服２９","1"
"Vestimenta de Reserva 30","予備の服３０","1"
"Vestimenta de Reserva 31","予備の服３１","1"
"Vestimenta de Reserva 32","予備の服３２","1"
"Vestimenta de Reserva 33","予備の服３３","1"
"Coração de Gigas","ギガースの心臓","1"
"Coração de Gigas 2","ギガース２の心臓","1"
"Coração de Gigas 3","ギガース３の心臓","1"
"Coração de Espadachim Gigante","巨人剣士の心臓","1"
"Coração de Espadachim Gigante 2","巨人剣士２の心臓","1"
"Coração de Espadachim Gigante 3","巨人剣士３の心臓","1"
"Coração de Cérbero","ケルベロスの心臓","1"
"Coração de Cérbero 2","ケルベロス２の心臓","1"
"Coração Enfraquecido","Weakened Heart","1"
"Coração de Golem","ゴーレムの心臓","1"
"Coração de Centauro","ケンタウロスの心臓","1"
"Coração de Ifrite","イーフリートの心臓","1"
"Coração Murchado","Withered Heart","1"
"Coração de Armisael","アルサミエルの心臓","1"
"Coração Tolo","Foolish Heart","1"
"Coração Corajoso","Emboldened Heart","1"
"Coração de Galgaliel","ガルガリエルの心臓","1"
"Coração Santificado","Saintly Heart","1"
"Coração Purificado","Purified Heart","1"
"Coração de Gabriel","ガブリエルの心臓","1"
"Coração Nobre","Noble Heart","1"
"Núcleo Abrasador","Searing Core","1"
"Núcleo Congelado","Frozen Core","1"
"Coração da Cantoria","ウタウタイの心臓","1"
"Núcleo Dourado","Golden Core","1"
"Núcleo Cristalino","Crystal Core","1"
"Núcleo Sagrado","Sacred Core","1"
"Núcleo Ébano","Ebon Core","1"
"Coração de Dragão","Dragon Heart","1"
"Coração de Pégasos","Pegasus Heart","1"
"Núcleo Brilhante","Shining Nucleus","1"
"Núcleo Robusto","Stout Nucleus","1"
"Núcleo Vinculante","Binding Nucleus","1"
"Núcleo da Justiça","Justice Nucleus","1"
"Núcleo Heroico","Heroic Nucleus","1"
"Núcleo Desajeitado","Bumbling Nucleus","1"
"Núcleo Festivo","Festive Nucleus","1"
"Núcleo Inspirador","Uplifting Nucleus","1"
"Núcleo Florido","Flowery Nucleus","1"
"Núcleo Redentor","Redemptive Nucleus","1"
"Coração de Reserva 17","予備の心臓１７","1"
"Coração de Reserva 18","予備の心臓１８","1"
"Coração de Reserva 19","予備の心臓１９","1"
"Coração de Reserva 20","予備の心臓２０","1"
"Coração de Reserva 21","予備の心臓２１","1"
"Coração de Reserva 22","予備の心臓２２","1"
"Coração de Reserva 23","予備の心臓２３","1"
"Coração de Reserva 24","予備の心臓２４","1"
"Coração de Reserva 25","予備の心臓２５","1"
"Coração de Reserva 26","予備の心臓２６","1"
