"translation","source"
"Pegue os Chifres de Unicórnio escondidos nos baús de aço!{#Name=""Explicação""}","Take the Unicorn Horns hidden in the steel chests!{#Name=""Explanation""}"
"Todos os Chifres de Unicórnio coletados!{#Name=""Explicação""}","All Unicorn Horns collected!{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"Pegue as Garras de Águia escondidas nos baús de aço!{#Name=""Explicação""}","Take the Eagle Talons hidden in the steel chests!{#Name=""Explanation""}"
"Todas as Garras de Águia coletadas!{#Name=""Explicação""}","All Eagle Talons collected!{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"Pegue as Presas de Víbora escondidas nos baús de aço!{#Name=""Explicação""}","Take the Viper Fangs hidden in the steel chests!{#Name=""Explanation""}"
"Todos as Presas de Víbora coletadas!{#Name=""Explicação""}","All Viper Fangs collected!{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"Pegue os Fósseis de Plantas escondidos nos baús de aço!{#Name=""Explicação""}","Take the Plant Fossils hidden in the steel chests!{#Name=""Explanation""}"
"Todos os Fósseis de Plantas coletados!{#Name=""Explicação""}","All Plant Fossils collected!{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"Pegue os Fragmentos do Mundo Antigo escondidos nos baús de aço!{#Name=""Explicação""}","Take the Old-World Shards hidden in the steel chests!{#Name=""Explanation""}"
"Todos os Fragmentos do Mundo Antigo coletados!{#Name=""Explicação""}","All Old-World Shards collected!{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"Pegue os Livros da Ambição escondidos nos baús de aço!{#Name=""Explicação""}","Take the Books of Ambition hidden in the steel chests!{#Name=""Explanation""}"
"Todos os Livros da Ambição coletados!{#Name=""Explicação""}","All Books of Ambition collected!{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"Pegue os Livros do Estoicismo escondidos nos baús de aço!{#Name=""Explicação""}","Take the Books of Stoicism hidden in the steel chests!{#Name=""Explanation""}"
"Todos os Livros do Estoicismo coletados!{#Name=""Explicação""}","All Books of Stoicism collected!{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"Pegue os Livros do Mistério escondidos nos baús de aço!{#Name=""Explicação""}","Take the Books of Mystery hidden in the steel chests!{#Name=""Explanation""}"
"Todos os Livros do Mistério coletados!{#Name=""Explicação""}","All Books of Mystery collected!{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"Pegue os Livros da Inocência escondidos nos baús de aço!{#Name=""Explicação""}","Take the Books of Innocence hidden in the steel chests!{#Name=""Explanation""}"
"Todos os Livros da Inocência coletados!{#Name=""Explicação""}","All Books of Innocence collected!{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"Pegue os Livros da Disciplina escondidos nos baús de aço!{#Name=""Explicação""}","Take the Books of Discipline hidden in the steel chests!{#Name=""Explanation""}"
"Todos os Livros da Disciplina coletados!{#Name=""Explicação""}","All Books of Discipline collected!{#Name=""Explanation""}"
